SNO,Timestamp,Phase,MQ136_A,MQ136_B,MQ136_C,MQ138_A,MQ138_B,MQ138_C,BME688_HP501,BME688_HP503,BME688_HP322,TGS2602_A,TGS2602_B,Temp,Hum,ActiveSensorsArray,VOC_Activated,Concentration,Distance
1,7/15/25 10:30,Pre-Puff,85,85,80,80,80,80,58,399.4,71,29280,29280,23,35,"[1,2,3,4,5,6,7]",NA,0,0
2,7/15/25 10:30,Pre-Puff,67,67,75,75,75,75,99,389.1,52,29282,29282,22,34,"[1,2,3,4,5,6,7]",NA,0,0
3,7/15/25 10:30,Pre-Puff,86,86,81,81,81,81,54,408.2,92,29282,29282,24,34,"[1,2,3,4,5,6,7]",NA,0,0
4,7/15/25 10:30,Pre-Puff,84,84,80,80,80,80,98,423.4,54,29285,29285,22,36,"[1,2,3,4,5,6,7]",NA,0,0
5,7/15/25 10:30,Pre-Puff,80,80,77,77,77,77,44,379.6,48,29285,29285,23,36,"[1,2,3,4,5,6,7]",NA,0,0
6,7/15/25 10:30,Pre-Puff,80,80,75,75,75,75,53,402,45,29282,29282,22,34,"[1,2,3,4,5,6,7]",NA,0,0
7,7/15/25 10:30,Pre-Puff,86,86,80,80,80,80,75,417.7,56,29285,29285,24,35,"[1,2,3,4,5,6,7]",NA,0,0
8,7/15/25 10:30,Pre-Puff,79,79,91,91,91,91,90,434.4,75,29286,29286,23,34,"[1,2,3,4,5,6,7]",NA,0,0
9,7/15/25 10:30,Pre-Puff,86,86,80,80,80,80,66,454.1,81,29293,29293,24,35,"[1,2,3,4,5,6,7]",NA,0,0
10,7/15/25 10:30,Pre-Puff,80,80,77,77,77,77,94,471.3,55,29295,29295,24,36,"[1,2,3,4,5,6,7]",NA,0,0
11,7/15/25 10:30,Pre-Puff,85,85,75,75,75,75,61,486.5,57,29297,29297,24,35,"[1,2,3,4,5,6,7]",NA,0,0
12,7/15/25 10:30,Pre-Puff,86,86,80,80,80,80,73,506.7,82,29302,29302,24,36,"[1,2,3,4,5,6,7]",NA,0,0
13,7/15/25 10:30,Pre-Puff,82,82,75,75,75,75,58,523.4,54,29303,29303,23,36,"[1,2,3,4,5,6,7]",NA,0,0
14,7/15/25 10:31,Pre-Puff,81,81,80,80,80,80,47,430.6,71,29305,29305,23,35,"[1,2,3,4,5,6,7]",NA,0,0
15,7/15/25 10:31,Pre-Puff,84,84,80,80,80,80,98,442,97,29305,29305,22,35,"[1,2,3,4,5,6,7]",NA,0,0
16,7/15/25 10:31,Pre-Puff,83,83,79,79,79,79,88,456.8,66,29307,29307,24,34,"[1,2,3,4,5,6,7]",NA,0,0
17,7/15/25 10:31,Pre-Puff,86,86,80,80,80,80,40,471.3,69,29307,29307,22,35,"[1,2,3,4,5,6,7]",NA,0,0
18,7/15/25 10:31,Pre-Puff,85,85,80,80,80,80,67,486.8,49,29310,29310,23,34,"[1,2,3,4,5,6,7]",NA,0,0
19,7/15/25 10:31,Pre-Puff,86,86,80,80,80,80,77,500.4,64,29312,29312,22,36,"[1,2,3,4,5,6,7]",NA,0,0
20,7/15/25 10:31,Pre-Puff,80,80,77,77,77,77,72,523.4,42,29319,29319,22,34,"[1,2,3,4,5,6,7]",NA,0,0
